Product,Cena,Size/g,Fat/100g,Carbs/100g,Protein/100g
Jajka W/W L10 Biedronka,7.49,550,,,
Jajka M10 Lidl,4.49,510,9.7,0.6,12.5
jajka L10 Lidl,5.49,550,9.7,0.6,12.5
Jajka W/W L10 Lidl,,550,,,
Jog Skyr Owoc 150g/Lidl,1.99,150,0.2,4.6,8.9
Jog Skyr Owoc 150g,1.69,150,0,12,9.6
Jogurt Gecki/Lidl,1.89,400,10,5.5,4
Jogurtos Gecki/Lidl,1.39,150,8.3,13.1,3.8
serek Homogen vanila lidl,3.99,,,,
serek Homogen natural Lidl,3.99,,,,
twarog chudy 250g lidl,2.59,250,,,
twarog Klinek poltlusty Biedronka,2.59,250,4.2,3.4,17
twarog Naturalny poltlusty lidl,2.59,250,4,3.7,16
twarog Naturalny chudy lidl,2.59,250,0,3.8,17
Ser twarog chud 250g,2.29,250,0.4,2.9,17
Monster 0.5l,3.99,,,,
Sardynki  Marinero,2.49,110,14,5.4,14
sardynki Lidl 110g,2.49,110,7.9,3.5,13
Szynka Morliny,7.99,250,2.4,1.1,17
Mieso z Indyka/Biedronka,6.99,500,5.8,0,18
Filet z piersi z kurczaka kurczak besiadny/lidl,26.9,1000,3,0,22
Filet z piersi z kurczaka kg,17.49,1000,3,0,22
Kotlety sojowe Sante,2.69,100,1.2,24,45
 KFD Premium WPC 80 1.4kg,93.98,1400,,,
KFD REGULAR WPC 80 (instant) - Białko - 750g,32.99,750,6,5,79
banany/biedronka,4.49,1000,,,
banany/Lidl kg,5.99,1000,,,
Owsianka blyskawiczna/biedronka,2.39,400,,,
Owsianka blyskawiczna/Lidl,2.39,500,7,58.7,13.5
cacoa QuickCao,,500,1.8,86,3.7
napoj kakaowy utz Lidl,4.95,500,1.8,83.7,3.7
Maslo Orzechowe,9.99,454,52.4,10.9,25.2
Ciastka czekoladowo-zbozowe,5.59,600,6,32,4.6
BelVita Orginal,5.99,300,15,67,7.4
cookiss Sante maslane,6.99,300,18,65,8.4
Milka Caramel,3.99,100,24,62,4.2
RicoRnaki kakao,5.49,300,15,64,7.9
t.Makaron Swiderki/Lidl,1.29,500,1.1,73,11
Ryz Basmati Supreme/Biedronka,,400,1,77,8.5
Tosty 4zia pelny biedronka,2.39,500,6.8,43,11
Tortilla Wraps Whikeneal,5.69,370,6,46.3,9.3
Buraki gotowane,3.99,500,0,9.9,1.6
Napoj Sojowy o smaku czekoladowym,4.99,1000,1.8,8.1,3.1